Hybridization REF	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-142	809	206.580601	N	1057	207.218253	N	1158	211.431275	N	2204	666.900062	N	757	190.763758	N
hsa-mir-143	100825	25745.969189	N	126703	24839.332338	N	169220	30896.718744	N	123355	37325.524995	N	53046	13367.575050	N
hsa-mir-144	885	225.987431	N	5498	1077.848584	N	3523	643.240398	N	8482	2566.536444	N	291	73.331907	N
hsa-mir-145	2196	560.755253	N	2732	535.591548	N	3278	598.507529	N	2578	780.067313	N	1661	418.571469	N
hsa-mir-1468	62	15.831888	N	72	14.115151	N	81	14.789234	N	50	15.129312	N	60	15.119981	N
hsa-mir-1469	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-146a	59	15.065829	N	81	15.879544	N	130	23.735808	N	72	21.786209	N	41	10.331987	N
hsa-mir-146b	3190	814.576164	N	3739	733.007613	N	4379	799.531565	N	2426	734.074206	N	1351	340.451568	N
hsa-mir-147	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1470	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1471	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-147b	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	2	0.503999	N
hsa-mir-148a	6356	1623.023855	N	7988	1565.997543	N	10161	1855.227273	N	5651	1709.914813	N	3367	848.482924	N
hsa-mir-148b	511	130.485398	N	991	194.279365	N	848	154.830502	N	609	184.275017	N	1116	281.231643	N
hsa-mir-149	2640	674.131998	N	2886	565.782287	N	3416	623.704002	N	3839	1161.628555	N	1375	346.499561	N
